names,GK vs. WKY
Cyp4a8_Cyp2j4,3.7773974
Exosc5_Dcaf13,3.7664485
Fech_Abcb10,3.7664485
Ifngr1_Ifnar2,3.7554994
Entpd3_Enpp1,3.7554994
Flt4_Angpt2,3.7554994
Sstr3_Mpdz,3.7445505
Cyp2j4_Alox12e,3.7445505
Glb1_Galm,3.7445505
Pik3r1_Gnb1,3.7445505
Nup85_Cpsf4,3.7336016
Pik3r3_Icoslg,3.7226524
Nup37_Cpsf4,3.7226524
Mnat1_Gtf2h2,3.7226524
Hspa12a_Dnajb6,3.7226524
Minpp1_Itpkb,3.7226524
Taf10_Sgf29,3.7117035
Atg3_Atg10,3.7007546
Nfe2_Keap1,3.7007546
Enpp1_Cmpk1,3.7007546
Nup160_Cpsf4,3.7007546
Bckdhb_Bcat1,3.6898055
Utp4_Dhx37,3.6898055
Utp15_Exosc5,3.6788566
Sds_Bckdhb,3.6788566
Neu1_Ctsa,3.6788566
Vegfb_Kdr,3.6679077
Ch25h_Agmo,3.6679077
Fads1_Acsl3,3.6679077
Mst1_Hpn,3.6569586
Jak1_Ifngr1,3.6569586
Phf20_Akt3,3.6569586
Ppm1k_Bckdha,3.6569586
Pgm2l1_Enpp1,3.6569586
Lig4_Aplf,3.6460097
Polr2c_Mnat1,3.6460097
Utp4_Bysl,3.6350608
Galt_Galm,3.6350608
Snx2_Ap3s1,3.6350608
Fdft1_Agmo,3.6350608
Mnat1_Cdk2,3.6241117
Mmp24_Cep295nl,3.6241117
Rbp4_Ces1c,3.6241117
Polr2b_Cdc73,3.6241117
Srcap_Cfdp1,3.6131628
Nr3c2_Fkbp5,3.6131628
Taf3_Taf10,3.6131628
Krt1_C1qbp,3.6131628
Ints5_Ints3,3.6131628
Tmem147_Galm,3.6131628
Taf5_Taf11,3.6022139
Taf12_Taf10,3.6022139
Entpd1_Enpp1,3.6022139
Ntrk1_Angpt2,3.6022139
Sox17_Gata4,3.5912647
Enpp1_Ctps1,3.5803158
Thtpa_Ntpcr,3.569367
Taf5_Taf10,3.569367
Tap1_Pdia3,3.5584178
Flt1_Angpt2,3.5584178
Skiv2l_Exosc5,3.5584178
Wdr43_Utp4,3.547469
Idh1_Gpt,3.547469
Xrcc1_Lig4,3.547469
F12_C1qbp,3.547469
Exosc5_Ddx47,3.547469
Odf2_Cntrl,3.547469
Gstz1_Gstm1,3.547469
Rbp4_Rbp1,3.53652
RSA-14-44_Pkn2,3.53652
Ptgs2_Cyp2j4,3.5255709
Ntpcr_Entpd1,3.5255709
Usp18_Jak1,3.5255709
Kyat3_Kmo,3.5255709
Prkag2_Lamtor4,3.5255709
Mnat1_Gtf2f1,3.514622
Pdia3_Calr4,3.514622
Xrcc4_Nhej1,3.503673
Vps29_Snx5,3.503673
Pdhb_Gpi,3.492724
Pank1_Enpp1,3.492724
Ednrb_Agt,3.492724
Wdr18_Utp4,3.492724
Ptpn11_Kdr,3.481775
Wdr46_Ddx51,3.481775
Enpp1_Ampd3,3.4708261
Taf3_Taf11,3.4708261
Pdia6_Pdia3,3.4708261
Exosc9_Exosc5,3.4708261
Uxt_Pfdn2,3.448928
Thoc7_Thoc1,3.448928
Ercc8_Ercc2,3.448928
Pkn2_Pdpk1,3.437979
Utp4_Utp18,3.437979
Polr2j_Mnat1,3.437979
Wdr3_Rrp7a,3.437979
Ezh2_E2f6,3.437979
Rps6kb1_Pdk1,3.437979
Prkaa2_Pik3r4,3.437979
Mnat1_Gtf2h1,3.437979
Pomt1_Pomk,3.437979
Nfe2_Mafg,3.42703
Tsc1_Lamtor4,3.42703
Bckdhb_Acad8,3.4160812
Creb1_Atf4,3.4160812
Taf10_Kat2b,3.4160812
Taf2_Taf10,3.4160812
Mnat1_Ccna2,3.405132
Thoc7_Ddx39b,3.405132
